property_type,price,location,city,baths,purpose,bedrooms,area_m2,Cluster
Flat,38000,DHA Defence,Islamabad,3,For Rent,3,253.0,Medium Affordable Properties
House,11500000,Wapda Town,Lahore,3,For Sale,3,126.0,Large Luxury Properties
House,6500000,Lahore Medical Housing Society,Lahore,3,For Sale,3,76.0,Large Luxury Properties
House,15000000,Bahria Town,Lahore,6,For Sale,5,253.0,Large Luxury Properties
Upper Portion,42000,Gulistan-e-Jauhar,Karachi,3,For Rent,3,303.0,Cheap Affordable Properties
House,8500000,Fateh Garh,Lahore,2,For Sale,2,152.0,Large Luxury Properties
House,12300000,State Life Housing Society,Lahore,4,For Sale,3,152.0,Large Luxury Properties
House,5500000,Walton Road,Lahore,2,For Sale,2,76.0,Large Luxury Properties
House,105000,Bahria Town,Islamabad,6,For Rent,5,278.0,Large Luxury Properties
Flat,12000000,Bahria Town Karachi,Karachi,3,For Sale,3,253.0,Medium Affordable Properties
Flat,20000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,76.0,Medium Affordable Properties
House,55000,G-15,Islamabad,6,For Rent,6,202.0,Large Luxury Properties
House,15000000,D Type Colony,Faisalabad,3,For Sale,4,177.0,Large Luxury Properties
Flat,20000,Scheme 33,Karachi,3,For Rent,2,169.0,Medium Affordable Properties
House,13500000,DHA 11 Rahbar,Lahore,5,For Sale,3,126.0,Large Luxury Properties
Flat,80000,Cantt,Karachi,4,For Rent,3,303.0,Medium Affordable Properties
Flat,6600000,Gulistan-e-Jauhar,Karachi,2,For Sale,2,83.0,Medium Affordable Properties
House,8500000,Malir,Karachi,2,For Sale,2,134.0,Large Luxury Properties
Flat,50000,Bahria Town Rawalpindi,Rawalpindi,1,For Rent,1,96.0,Medium Affordable Properties
Flat,10000000,DHA Defence,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
Lower Portion,6500000,Federal B Area,Karachi,2,For Sale,2,121.0,Cheap Affordable Properties
Lower Portion,100000,Clifton,Karachi,4,For Rent,3,303.0,Cheap Affordable Properties
House,9500000,Sangar Town,Rawalpindi,6,For Sale,4,152.0,Large Luxury Properties
Flat,60000,Gulistan-e-Jauhar,Karachi,3,For Rent,3,271.0,Medium Affordable Properties
House,2200000,Khayaban-e-Quaid,Lahore,2,For Sale,2,38.0,Large Luxury Properties
House,12000000,Eden,Lahore,3,For Sale,4,152.0,Large Luxury Properties
Flat,3300000,Canal Road,Faisalabad,1,For Sale,1,61.0,Medium Affordable Properties
House,35000,Peoples Colony No 2,Faisalabad,5,For Rent,5,253.0,Large Luxury Properties
House,11000000,Shah Khalid Colony,Rawalpindi,5,For Sale,5,303.0,Large Luxury Properties
House,11000000,Lahore Medical Housing Society,Lahore,3,For Sale,3,126.0,Large Luxury Properties
House,13000000,Ghauri Town,Islamabad,5,For Sale,6,202.0,Large Luxury Properties
House,11000000,Bahria Town,Lahore,4,For Sale,3,126.0,Large Luxury Properties
House,13000000,Pak Arab Housing Society,Lahore,4,For Sale,3,126.0,Large Luxury Properties
House,15000000,Bahria Town Rawalpindi,Rawalpindi,5,For Sale,5,177.0,Large Luxury Properties
House,6642000,Northern Bypass,Karachi,3,For Sale,3,126.0,Large Luxury Properties
House,18400000,Naya Nazimabad,Karachi,5,For Sale,5,243.0,Large Luxury Properties
Flat,12000000,Bahria Town Karachi,Karachi,3,For Sale,3,253.0,Medium Affordable Properties
House,14500000,North Karachi,Karachi,4,For Sale,4,121.0,Large Luxury Properties
House,6642000,Northern Bypass,Karachi,3,For Sale,3,126.0,Large Luxury Properties
Flat,5550000,B-17,Islamabad,2,For Sale,2,104.0,Medium Affordable Properties
Flat,1845000,B-17,Islamabad,1,For Sale,1,78.0,Medium Affordable Properties
Flat,20000000,Jamshed Town,Karachi,4,For Sale,4,248.0,Medium Affordable Properties
Flat,5300000,Bahria Town Karachi,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
House,14500000,Bahria Town Karachi,Karachi,3,For Sale,3,152.0,Large Luxury Properties
House,15500000,Gulberg,Lahore,5,For Sale,5,253.0,Large Luxury Properties
House,19000000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,6700000,Cantt,Lahore,3,For Sale,3,63.0,Large Luxury Properties
House,21500000,Ravi Park,Lahore,5,For Sale,4,164.0,Large Luxury Properties
House,24500000,Bahria Town,Lahore,7,For Sale,5,253.0,Large Luxury Properties
Flat,4000000,Bahria Town,Lahore,1,For Sale,1,46.0,Medium Affordable Properties
Upper Portion,19000,Airport Housing Society,Rawalpindi,2,For Rent,2,126.0,Cheap Affordable Properties
House,16000000,Gulraiz Housing Scheme,Rawalpindi,4,For Sale,4,303.0,Large Luxury Properties
House,18000000,PCSIR Staff Colony,Lahore,5,For Sale,4,405.0,Large Luxury Properties
Upper Portion,70000,E-11,Islamabad,3,For Rent,3,359.0,Cheap Affordable Properties
Flat,26000,Farooq-e-Azam Road,Rawalpindi,2,For Rent,2,91.0,Medium Affordable Properties
Upper Portion,50000,G-13,Islamabad,3,For Rent,3,276.0,Cheap Affordable Properties
House,23500000,Federal B Area,Karachi,4,For Sale,3,243.0,Large Luxury Properties
House,110000,G-11,Islamabad,5,For Rent,5,253.0,Large Luxury Properties
House,24000000,Wapda City,Faisalabad,6,For Sale,5,379.0,Large Luxury Properties
House,36500000,DHA Defence,Lahore,5,For Sale,4,253.0,Large Luxury Properties
House,4500000,Mohlanwal Road,Lahore,4,For Sale,5,101.0,Large Luxury Properties
House,7500000,Al-Raheem Garden,Lahore,3,For Sale,2,89.0,Large Luxury Properties
House,9500000,Bahria Town,Lahore,4,For Sale,3,152.0,Large Luxury Properties
House,60000,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,278.0,Large Luxury Properties
House,20000000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
Flat,8100000,Raiwind Road,Lahore,3,For Sale,3,253.0,Medium Affordable Properties
House,17500000,Bahria Town Rawalpindi,Rawalpindi,5,For Sale,4,253.0,Large Luxury Properties
House,12500000,Izmir Town,Lahore,3,For Sale,3,126.0,Large Luxury Properties
House,47500,Bahria Town Rawalpindi,Rawalpindi,3,For Rent,3,202.0,Large Luxury Properties
House,75000,G-13,Islamabad,5,For Rent,5,177.0,Large Luxury Properties
Flat,45000,DHA Defence,Karachi,2,For Rent,2,106.0,Medium Affordable Properties
Flat,20000000,Jamshed Town,Karachi,3,For Sale,3,212.0,Medium Affordable Properties
Lower Portion,45000,Gulistan-e-Jauhar,Karachi,3,For Rent,3,202.0,Cheap Affordable Properties
Flat,7300000,F-11,Islamabad,1,For Sale,1,83.0,Medium Affordable Properties
Flat,22000000,DHA Defence,Karachi,3,For Sale,3,202.0,Medium Affordable Properties
House,21000000,Bahria Town,Lahore,6,For Sale,5,253.0,Large Luxury Properties
Flat,3000000,Kemari Town,Karachi,3,For Sale,3,56.0,Medium Affordable Properties
House,12500000,Scheme 45,Karachi,5,For Sale,4,278.0,Large Luxury Properties
House,10500000,Bahria Town,Lahore,4,For Sale,3,126.0,Large Luxury Properties
House,24000000,Federal B Area,Karachi,4,For Sale,4,121.0,Large Luxury Properties
House,32500000,DHA Defence,Lahore,5,For Sale,4,253.0,Large Luxury Properties
House,5500000,Punjab Govt. Servants Housing Foundation,Faisalabad,2,For Sale,1,126.0,Large Luxury Properties
House,16000000,G-13,Islamabad,4,For Sale,3,111.0,Large Luxury Properties
House,35000000,Malir,Karachi,6,For Sale,6,303.0,Large Luxury Properties
Flat,18500000,DHA Defence,Karachi,3,For Sale,3,225.0,Medium Affordable Properties
Lower Portion,20000000,Gulistan-e-Jauhar,Karachi,4,For Sale,4,303.0,Cheap Affordable Properties
House,12000000,Super Town,Lahore,4,For Sale,3,89.0,Large Luxury Properties
House,35000000,Gulistan-e-Jauhar,Karachi,3,For Sale,3,243.0,Large Luxury Properties
House,8100000,New Karachi,Karachi,2,For Sale,2,81.0,Large Luxury Properties
House,20600000,Askari,Lahore,3,For Sale,3,253.0,Large Luxury Properties
Flat,9120000,Bahria Town,Lahore,2,For Sale,2,86.0,Medium Affordable Properties
Upper Portion,42000,G-9,Islamabad,2,For Rent,2,253.0,Cheap Affordable Properties
Flat,20000,E-11,Islamabad,1,For Rent,2,83.0,Medium Affordable Properties
House,22500000,North Karachi,Karachi,3,For Sale,4,291.0,Large Luxury Properties
Flat,12500000,DHA Defence,Karachi,2,For Sale,2,111.0,Medium Affordable Properties
House,16500000,PWD Housing Scheme,Islamabad,4,For Sale,4,235.0,Large Luxury Properties
House,39000000,G-10,Islamabad,6,For Sale,6,303.0,Large Luxury Properties
House,13000000,Tulsa Road,Rawalpindi,5,For Sale,5,126.0,Large Luxury Properties
Flat,85000,Clifton,Karachi,3,For Rent,3,225.0,Medium Affordable Properties
House,8500000,Johar Town,Lahore,4,For Sale,4,126.0,Large Luxury Properties
Flat,25000,H-13,Islamabad,2,For Rent,2,162.0,Medium Affordable Properties
Flat,6200000,Bahria Town Karachi,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
Flat,6700000,Bahria Town Karachi,Karachi,2,For Sale,2,106.0,Medium Affordable Properties
House,21500000,G-9,Islamabad,3,For Sale,3,152.0,Large Luxury Properties
House,6499000,Nishtar Colony,Lahore,4,For Sale,3,76.0,Large Luxury Properties
House,20400000,Bahria Town Karachi,Karachi,3,For Sale,3,202.0,Large Luxury Properties
House,5700000,Lalazaar Garden,Lahore,3,For Sale,3,68.0,Large Luxury Properties
Flat,40000,Bahria Town Rawalpindi,Rawalpindi,2,For Rent,2,111.0,Medium Affordable Properties
Lower Portion,35000,B-17,Islamabad,3,For Rent,3,281.0,Cheap Affordable Properties
Lower Portion,50500,Satellite Town,Rawalpindi,3,For Rent,3,177.0,Cheap Affordable Properties
House,7200000,Sanda,Lahore,4,For Sale,3,51.0,Large Luxury Properties
Upper Portion,31000,I-10,Islamabad,2,For Rent,2,169.0,Cheap Affordable Properties
House,17000000,New Karachi,Karachi,4,For Sale,4,121.0,Large Luxury Properties
House,6500000,Airport Housing Society,Rawalpindi,3,For Sale,3,126.0,Large Luxury Properties
Flat,17000000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,3,175.0,Medium Affordable Properties
Upper Portion,15000000,Gulshan-e-Iqbal Town,Karachi,3,For Sale,3,202.0,Cheap Affordable Properties
Flat,85000,Gulshan-e-Iqbal Town,Karachi,3,For Rent,3,225.0,Medium Affordable Properties
House,16000000,G-11,Islamabad,3,For Sale,4,101.0,Large Luxury Properties
Upper Portion,7500000,Nazimabad,Karachi,3,For Sale,3,114.0,Cheap Affordable Properties
House,3200000,Allahabad Road,Rawalpindi,1,For Sale,1,51.0,Large Luxury Properties
House,15000000,Bahria Town Karachi,Karachi,4,For Sale,4,354.0,Large Luxury Properties
House,16000000,Faisal Town,Lahore,3,For Sale,3,177.0,Large Luxury Properties
Flat,2500000,Gadap Town,Karachi,2,For Sale,2,83.0,Medium Affordable Properties
House,14500000,Gulshan Abad,Rawalpindi,5,For Sale,5,303.0,Large Luxury Properties
House,8700000,PCSIR Housing Scheme,Lahore,4,For Sale,3,76.0,Large Luxury Properties
Flat,12000000,Askari 4,Rawalpindi,3,For Sale,3,271.0,Medium Affordable Properties
House,22000000,North Karachi,Karachi,2,For Sale,4,121.0,Large Luxury Properties
House,3600000,Al Rehman Garden,Lahore,2,For Sale,1,76.0,Large Luxury Properties
House,28000000,Bahria Town,Islamabad,5,For Sale,4,253.0,Large Luxury Properties
Flat,14900000,G-11,Islamabad,2,For Sale,2,162.0,Medium Affordable Properties
Flat,140000,Bath Island,Karachi,4,For Rent,4,303.0,Medium Affordable Properties
House,4200000,Adiala Road,Rawalpindi,2,For Sale,3,76.0,Large Luxury Properties
Flat,11500000,DHA Defence,Karachi,2,For Sale,2,111.0,Medium Affordable Properties
